"Reference","Value","Footprint","Qty"
"C1","470uF(?)","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1"
"C2","1123pF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1"
"C3","63uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1"
"C4,C5","10pF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2"
"C6","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1"
"C7",".1uF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1"
"D1","1N5818/5819/5820","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","1"
"D2","PWR","LED_THT:LED_D5.0mm_Clear","1"
"D3","Erase","LED_THT:LED_D5.0mm","1"
"D4","Pass (OK)","LED_THT:LED_D5.0mm","1"
"D5","Fail","LED_THT:LED_D5.0mm","1"
"D6,D8","D_Small","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","2"
"D7","1N4748/1N5251","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","1"
"D9","Vpp","LED_THT:LED_D5.0mm","1"
"J1","+5Vin","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1"
"L1","88uH","footprints:IND_FIT68-1","1"
"Q1,Q2","BC547","Package_TO_SOT_THT:TO-92_HandSolder","2"
"R1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R2","20K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R3","0.23R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R4","180R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R5,R6,R7,R8","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4"
"R9","3.9K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R10,R12,R13","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3"
"R11","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R14","27R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R15","2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"SW1","SW_DPDT_x2","footprints:SW_GF-126-0159","1"
"SW2","RST/PRG","footprints:SW_GF-126-0159","1"
"U1","74LS138","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","1"
"U2","74LS373","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","1"
"U3,U4","27C512","Package_DIP:DIP-28_W15.24mm","2"
"U5","~","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","1"
"U6","MC34063AD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1"
"Y1","4Mhz","Crystal:Crystal_HC50_Vertical","1"
